  ,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q20 l20 aligned Count,RMHM viral q20 l30 aligned Count,RMHM viral q20 l40 aligned Count,RMHM viral q20 l50 aligned Count,RMHM viral q25 l20 aligned Count,RMHM viral q25 l30 aligned Count,RMHM viral q25 l40 aligned Count,RMHM viral q25 l50 aligned Count,RMHM viral q30 l20 aligned Count,RMHM viral q30 l30 aligned Count,RMHM viral q30 l40 aligned Count,RMHM viral q30 l50 aligned Count
14-1402-02A-01R-2005-01+2,33841361,2718415,856211,,,,,,,,,,,,
14-1823-01A-01R-1849-01+1,65815631,3192164,830650,,,,,,,,,,,,
14-1823-01A-01R-1849-01+2,42163164,2253469,556645,,,,,,,,,,,,
14-1825-01A-01R-1850-01+1,50405056,10435722,3513309,,,,,,,,,,,,
14-1825-01A-01R-1850-01+2,40641063,9971248,3372133,,,,,,,,,,,,
14-1829-01A-01R-1850-01+1,42694112,4480627,1776953,,,,,,,,,,,,
14-1829-01A-01R-1850-01+2,67361781,5173794,1900834,,,,,,,,,,,,
14-2554-01A-01R-1850-01+1,40570072,842418,73567,,,,,,,,,,,,
14-2554-01A-01R-1850-01+2,66392312,1518153,170243,,,,,,,,,,,,
15-0742-01A-01R-1850-01+1,38912027,1004753,180534,,,,,,,,,,,,
15-0742-01A-01R-1850-01+2,58846541,1607354,289781,,,,,,,,,,,,
15-1444-01A-02R-1850-01+1,73367665,2187207,253915,,,,,,,,,,,,
15-1444-01A-02R-1850-01+2,44948144,1174979,123086,,,,,,,,,,,,
16-0846-01A-01R-1850-01+1,60070145,2519034,513508,,,,,,,,,,,,
16-0846-01A-01R-1850-01+2,38933492,1779290,385479,,,,,,,,,,,,
16-1045-01B-01R-1850-01+1,56336075,3132303,1322549,,,,,,,,,,,,
16-1045-01B-01R-1850-01+2,39569084,2498988,1213041,,,,,,,,,,,,
19-0957-02A-11R-2005-01+1,40083277,1076871,139292,,,,,,,,,,,,
19-0957-02A-11R-2005-01+2,60079198,1719791,231697,,,,,,,,,,,,
