  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
SRR1400997,29742627,27811661,93.50,55026350,98.92
SRR1401062,45518945,38992467,85.66,76823431,98.51
SRR1401276,41837155,38954754,93.11,77000905,98.83
SRR1401295,43467492,35145126,80.85,69204287,98.45
SRR1401424,40376591,36847087,91.25,72556283,98.45
SRR1401552,42834063,37879663,88.43,74671273,98.56
SRR1401953,34216233,31266444,91.37,61367536,98.13
SRR1402239,37764237,32554541,86.20,64267370,98.70
SRR1402454,45344535,41498304,91.51,82142899,98.97
SRR1402473,40729553,38755153,95.15,76534842,98.74
SRR1402513,34212728,29738999,86.92,58494842,98.34
SRR1402840,37277380,35021093,93.94,69070579,98.61
SRR1402882,44739890,42518017,95.03,84222174,99.04
SRR1402900,39059967,35921912,91.96,71144759,99.02
SRR1403050,52193761,47879173,91.73,94797229,98.99
SRR1403222,46331389,44101790,95.18,87357093,99.04
SRR1403831,44352044,40634408,91.61,80543488,99.10
SRR1403875,49215159,47013041,95.52,92781533,98.67
SRR1403915,42548547,39641454,93.16,78081814,98.48
SRR1403958,39736988,36077421,90.79,71403591,98.95
SRR1404168,41090473,37911176,92.26,74689124,98.50
SRR1404601,61411055,57427586,93.51,112461937,97.91
SRR1404640,50843063,44753078,88.02,88338534,98.69
SRR1404969,45692936,38264672,83.74,74826792,97.77
SRR1405007,42473493,38633773,90.95,76411786,98.89
SRR1405224,36561006,32843295,89.83,64720504,98.52
SRR1405485,40222228,36809899,91.51,72910282,99.03
SRR1406561,40349815,36601915,90.71,72388758,98.88
SRR1406917,47529921,44230240,93.05,87056708,98.41
SRR1406976,41581491,38628457,92.89,76342679,98.81
SRR1407134,34773981,30447339,87.55,59922594,98.40
SRR1407315,41874160,38597145,92.17,76261819,98.79
SRR1407560,66284467,62980898,95.01,123882309,98.34
SRR1408113,40108669,36305129,90.51,71667487,98.70
SRR1408208,50821307,47210825,92.89,93410785,98.92
