  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
26-5134-01A-01R-1850-01+2,22811329,19137007,83.89,37410504,97.74
26-5135-01A-01R-1850-01+1,62071962,41812813,67.36,80401454,96.14
26-5135-01A-01R-1850-01+2,41402729,31142734,75.21,59772429,95.96
26-5136-01B-01R-1850-01+1,31064868,14712612,47.36,27226326,92.52
26-5136-01B-01R-1850-01+2,44776300,18982875,42.39,35073132,92.38
26-5139-01A-01R-1850-01+1,35877489,33372944,93.01,65829953,98.62
26-5139-01A-01R-1850-01+2,57439549,45733511,79.62,89723618,98.09
26-A7UX-01B-11R-A39C-08+1,45624764,44347932,97.20,87807270,98.99
27-1830-01A-01R-1850-01+1,61986907,50830562,82.00,99748445,98.11
27-1830-01A-01R-1850-01+2,41996483,37128302,88.40,72977027,98.27
27-1831-01A-01R-1850-01+1,34957818,26085439,74.61,47412675,90.87
27-1831-01A-01R-1850-01+2,57805303,41979143,72.62,78382458,93.35
27-1832-01A-01R-1850-01+1,39374901,37063165,94.12,70462387,95.05
27-1832-01A-01R-1850-01+2,71050536,61845618,87.04,118956644,96.17
27-1834-01A-01R-1850-01+1,40243783,34102975,84.74,66001758,96.76
27-1834-01A-01R-1850-01+2,58266966,46404722,79.64,90002393,96.97
27-1835-01A-01R-1850-01+1,59759789,41433362,69.33,80374803,96.99
27-1835-01A-01R-1850-01+2,41202927,29893390,72.55,57962334,96.94
27-1837-01A-01R-1850-01+1,58525688,25891897,44.24,43296570,83.61
27-1837-01A-01R-1850-01+2,45702958,21145985,46.26,34349878,81.22
27-2519-01A-01R-1850-01+1,38629675,36643531,94.85,72278847,98.62
27-2519-01A-01R-1850-01+2,57112760,49704618,87.02,97683794,98.26
27-2521-01A-01R-1850-01+1,45147008,40868892,90.52,80246135,98.17
27-2521-01A-01R-1850-01+2,67112479,56169412,83.69,110146956,98.04
27-2523-01A-01R-1850-01+1,65544995,57631923,87.92,113523058,98.48
27-2523-01A-01R-1850-01+2,44843828,42980062,95.84,84960403,98.83
