  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count
27-2528-01A-01R-1850-01+1,41422271,39071885,94.32
27-2528-01A-01R-1850-01+2,63079479,54689588,86.69
28-1747-01C-01R-1850-01+1,59379194,51151817,86.14
28-1747-01C-01R-1850-01+2,39807606,37356377,93.84
28-1753-01A-01R-1850-01+1,43149852,19885120,46.08
28-1753-01A-01R-1850-01+2,56764050,24565540,43.27
28-2499-01A-01R-1850-01+1,66407811,51499273,77.55
28-2499-01A-01R-1850-01+2,41883691,36245526,86.53
28-2509-01A-01R-1850-01+1,41414874,36242856,87.51
28-2509-01A-01R-1850-01+2,64557310,50838445,78.74
28-2510-01A-01R-1850-01+1,57805993,47381981,81.96
28-2510-01A-01R-1850-01+2,35955126,34170242,95.03
28-2513-01A-01R-1850-01+1,42410573,33044717,77.91
28-2513-01A-01R-1850-01+2,64784212,45842153,70.76
28-2514-01A-02R-1850-01+1,71805412,55638001,77.48
28-2514-01A-02R-1850-01+2,48855105,42086061,86.14
28-5204-01A-01R-1850-01+1,37194892,34267335,92.12
28-5204-01A-01R-1850-01+2,57909270,46146267,79.68
28-5207-01A-01R-1850-01+1,37599506,33178147,88.24
28-5207-01A-01R-1850-01+2,58488821,44527306,76.12
28-5208-01A-01R-1850-01+1,41581624,36510420,87.80
28-5208-01A-01R-1850-01+2,66382922,50888218,76.65
28-5209-01A-01R-1850-01+1,66542510,53184182,79.92
28-5209-01A-01R-1850-01+2,41839465,38704386,92.50
28-5213-01A-01R-1850-01+1,43222736,19677034,45.52
28-5213-01A-01R-1850-01+2,63388296,26427531,41.69
28-5215-01A-01R-1850-01+1,72483043,59409630,81.96
28-5215-01A-01R-1850-01+2,44933519,42779404,95.20
28-5216-01A-01R-1850-01+1,49357539,40158148,81.36
28-5216-01A-01R-1850-01+2,30649887,28786942,93.92
28-5218-01A-01R-1850-01+1,33057370,31500988,95.29
28-5218-01A-01R-1850-01+2,54081597,45025340,83.25
28-5220-01A-01R-1850-01+1,36936354,33102614,89.62
28-5220-01A-01R-1850-01+2,60193686,46924551,77.95
32-1970-01A-01R-1850-01+1,49442430,39319126,79.52
32-1970-01A-01R-1850-01+2,72173008,51882426,71.88
32-1980-01A-01R-1850-01+1,37557497,35810538,95.34
32-1980-01A-01R-1850-01+2,62506144,51943274,83.10
32-1982-01A-01R-1850-01+1,61344439,22154442,36.11
32-1982-01A-01R-1850-01+2,47171424,18237121,38.66
32-2615-01A-01R-1850-01+1,83426741,62686201,75.13
32-2615-01A-01R-1850-01+2,53849457,44905951,83.39
32-2616-01A-01R-1850-01+1,50022239,47443137,94.84
32-2616-01A-01R-1850-01+2,78657046,66222919,84.19
32-2632-01A-01R-1850-01+1,71403265,49014646,68.64
32-2632-01A-01R-1850-01+2,48757754,36242686,74.33
32-2634-01A-01R-1850-01+1,80529422,64560495,80.17
32-2634-01A-01R-1850-01+2,53148440,47737942,89.82
32-2638-01A-01R-1850-01+1,52048304,46603592,89.53
32-2638-01A-01R-1850-01+2,80119595,63860953,79.70
32-4213-01A-01R-1850-01+1,32012478,20832753,65.07
32-4213-01A-01R-1850-01+2,67667776,45426709,67.13
32-5222-01A-01R-1850-01+1,66204022,54768597,82.72
32-5222-01A-01R-1850-01+2,38312019,36719887,95.84
41-2571-01A-01R-1850-01+1,44708804,36361825,81.33
41-2571-01A-01R-1850-01+2,74325634,54563091,73.41
41-2572-01A-01R-1850-01+1,45206755,34436361,76.17
41-2572-01A-01R-1850-01+2,68978346,48702534,70.60
41-3915-01A-01R-1850-01+1,69306157,47771144,68.92
41-3915-01A-01R-1850-01+2,42892987,32123690,74.89
41-4097-01A-01R-1850-01+1,63535024,38379403,60.40
41-4097-01A-01R-1850-01+2,42807214,29056199,67.87
41-5651-01A-01R-1850-01+1,32890865,31219467,94.91
41-5651-01A-01R-1850-01+2,51496854,41822358,81.21
4W-AA9R-01A-11R-A39C-08+1,67175835,65303328,97.21
4W-AA9S-01A-11R-A39C-08+1,34452044,33421028,97.00
4W-AA9T-01A-11R-A39C-08+1,35010860,34009244,97.13
76-4925-01A-01R-1850-01+1,73763038,60364428,81.83
76-4925-01A-01R-1850-01+2,44748848,42507052,94.99
76-4926-01B-01R-1850-01+1,70753244,57596431,81.40
76-4926-01B-01R-1850-01+2,40956195,38624564,94.30
76-4927-01A-01R-1850-01+1,38320027,25105011,65.51
76-4927-01A-01R-1850-01+2,57547242,33681127,58.52
76-4928-01B-01R-1850-01+1,43408198,41386270,95.34
76-4928-01B-01R-1850-01+2,74427115,61557320,82.70
76-4929-01A-01R-1850-01+1,55395435,45622654,82.35
76-4929-01A-01R-1850-01+2,34576692,33030376,95.52
76-4931-01A-01R-1850-01+1,41333547,39373917,95.25
76-4931-01A-01R-1850-01+2,64034049,52956740,82.70
76-4932-01A-01R-1850-01+1,63053813,51099525,81.04
76-4932-01A-01R-1850-01+2,37977666,35930251,94.60
CS-4938-01B-11R-1896-07+1,69973581,69196032,98.88
CS-4941-01A-01R-1470-07+1,69695383,68691305,98.55
CS-4942-01A-01R-1470-07+1,70129627,69168068,98.62
CS-4943-01A-01R-1470-07+1,74494966,73409318,98.54
CS-4944-01A-01R-1470-07+1,63086943,62286677,98.73
CS-5390-01A-02R-1470-07+1,69947326,69092239,98.77
CS-5393-01A-01R-1470-07+1,66260420,65508983,98.86
CS-5394-01A-01R-1470-07+1,74034764,73189295,98.85
CS-5395-01A-01R-1470-07+1,66559473,65804335,98.86
CS-5396-01A-02R-1470-07+1,81360426,80169383,98.53
CS-5397-01A-01R-1896-07+1,70768778,69563090,98.29
CS-6186-01A-12R-2027-07+1,48910022,48240725,98.63
CS-6188-01A-11R-1896-07+1,65173257,64254596,98.59
CS-6290-01A-11R-1708-07+1,66019700,65145137,98.67
CS-6665-01A-11R-1896-07+1,72049261,71213511,98.84
CS-6666-01A-11R-1896-07+1,59828532,59234670,99.00
CS-6667-01A-12R-2027-07+1,79275309,78315460,98.78
CS-6668-01A-11R-1896-07+1,71349664,70559506,98.89
CS-6669-01A-11R-1896-07+1,68651152,67901394,98.90
